iter	Passed	Remaining
0	144	144384
1	147	73452
2	149	49540
3	152	37963
4	155	30990
5	158	26182
6	160	22742
7	162	20105
8	165	18204
9	169	16804
10	171	15452
11	174	14330
12	176	13405
13	178	12592
14	181	11928
15	184	11354
16	186	10802
17	189	10336
18	192	9915
19	193	9504
20	198	9243
21	200	8919
22	204	8688
23	206	8412
24	209	8165
25	213	8010
26	216	7792
27	218	7587
28	221	7405
29	223	7218
30	227	7098
31	231	7016
32	234	6864
33	236	6711
34	238	6565
35	242	6483
36	246	6412
37	248	6287
38	250	6168
39	252	6051
40	254	5941
41	257	5869
42	259	5777
43	261	5686
44	264	5613
45	267	5551
46	272	5527
47	275	5461
48	277	5392
49	281	5342
50	285	5303
51	288	5256
52	290	5183
53	292	5124
54	294	5058
55	299	5047
56	301	4995
57	304	4944
58	306	4886
59	309	4841
60	313	4818
61	315	4769
62	317	4719
63	319	4671
64	321	4626
65	323	4579
66	327	4560
67	330	4523
68	332	4480
69	334	4448
70	336	4405
71	338	4362
72	342	4346
73	344	4307
74	346	4275
75	348	4242
76	351	4208
77	353	4178
78	356	4150
79	359	4132
80	361	4101
81	363	4069
82	364	4026
83	366	3993
84	368	3963
85	372	3963
86	375	3936
87	378	3918
88	380	3897
89	384	3884
90	389	3890
91	392	3869
92	394	3846
93	396	3823
94	398	3798
95	401	3780
96	404	3766
97	406	3742
98	408	3715
99	410	3694
100	412	3670
101	414	3653
102	420	3665
103	423	3649
104	425	3630
105	429	3620
106	433	3621
107	436	3608
108	439	3590
109	441	3576
110	444	3558
111	448	3557
112	452	3554
113	456	3548
114	459	3535
115	465	3549
116	467	3531
117	471	3527
118	474	3512
119	476	3495
120	480	3491
121	482	3474
122	485	3460
123	488	3451
124	493	3457
125	500	3469
126	502	3453
127	510	3480
128	513	3469
129	516	3456
130	520	3454
131	540	3556
132	545	3557
133	549	3550
134	558	3577
135	561	3568
136	564	3557
137	568	3553
138	571	3541
139	574	3530
140	580	3534
141	581	3514
142	585	3507
143	589	3504
144	596	3517
145	599	3504
146	602	3498
147	613	3534
148	621	3550
149	629	3566
150	632	3557
151	636	3549
152	646	3577
153	649	3567
154	653	3563
155	662	3584
156	665	3573
157	668	3564
158	675	3571
159	678	3562
160	680	3545
161	682	3531
162	685	3519
163	689	3512
164	692	3503
165	701	3525
166	705	3518
167	714	3538
168	723	3556
169	732	3574
170	735	3566
171	738	3553
172	743	3555
173	746	3544
174	749	3531
175	752	3520
176	757	3521
177	760	3509
178	763	3499
179	766	3489
180	768	3476
181	772	3471
182	774	3459
183	782	3469
184	785	3461
185	792	3469
186	806	3505
187	810	3501
188	813	3491
189	820	3497
190	823	3487
191	825	3475
192	837	3502
193	844	3510
194	847	3498
195	853	3499
196	856	3490
197	862	3493
198	865	3482
199	876	3505
200	879	3496
201	882	3485
202	885	3475
203	891	3476
204	894	3467
205	901	3474
206	904	3463
207	909	3462
208	912	3452
209	915	3443
210	918	3434
211	926	3444
212	929	3433
213	932	3423
214	936	3420
215	987	3584
216	990	3572
217	994	3568
218	1004	3581
219	1014	3597
220	1019	3594
221	1022	3583
222	1026	3576
223	1029	3565
224	1075	3705
225	1081	3704
226	1087	3703
227	1102	3731
228	1104	3719
229	1107	3708
230	1110	3696
231	1113	3686
232	1119	3685
233	1122	3673
234	1124	3660
235	1173	3797
236	1175	3785
237	1180	3780
238	1183	3769
239	1187	3758
240	1189	3747
241	1192	3734
242	1197	3731
243	1200	3720
244	1204	3713
245	1251	3835
246	1253	3822
247	1258	3815
248	1261	3805
249	1265	3796
250	1268	3785
251	1271	3773
252	1277	3772
253	1280	3759
254	1282	3748
255	1410	4099
256	1413	4085
257	1416	4072
258	1418	4059
259	1427	4063
260	1433	4059
261	1439	4056
262	1448	4060
263	1455	4058
264	1499	4160
265	1504	4151
266	1508	4140
267	1510	4126
268	1513	4113
269	1522	4116
270	1525	4102
271	1527	4089
272	1530	4075
273	1544	4092
274	1552	4094
275	1556	4084
276	1559	4071
277	1598	4152
278	1602	4141
279	1606	4131
280	1609	4117
